StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q2.4,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q4.1,Q4.2,Q4.3_1,Q4.3_2,Q4.3_3,Q5.1,Q5.2,Q6.1_1,Q6.2_1,Q6.3,Q6.3_4_TEXT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Do you acknowledge that your participation in the study is voluntary, your responses will be recorded, that you are at least 18 years old, and that you are aware that you may choose to terminate your participation in the study at any time and for any reason?",Are you currently attending university in The Netherlands?,How frequently do you think individuals are being recorded in public without their consent?,Have you ever encountered a post on social media featuring an individual being recorded without their consent?,How often do you encounter posts featuring an individual being recorded without their consent?,Has anyone ever recorded you in public without your consent?,To what extent do you agree or disagree with the following statements? - It is ethical for individuals to record other individuals in public without their consent,To what extent do you agree or disagree with the following statements? - I have considered recording another individual in public without their consent,To what extent do you agree or disagree with the following statements? - Individuals who have recorded others in public without consent should be allowed to post these recordings on social media,"To what extent do you agree or disagree with the following statements? - Since an individual is in a public space, other individuals should be allowed to record their behaviour without their consent",How comfortable are you when someone is recording other individuals in a public space?,How likely do you think it is that you will be recorded in public for your behavior?,To what extent do you agree or disagree with the following statements? - I am more conscious of my actions in public,To what extent do you agree or disagree with the following statements? - I am afraid I will be recorded in public without my consent,To what extent do you agree or disagree with the following statements? - I trust people to record me appropriately in public,Are you aware of laws in The Netherlands pertaining to recording others without their consent?,Do you think there should be stronger regulations pertaining recording others without their consent?,What is your year of birth? - 1,What is your nationality? - 1,What gender do you currently identify as? - Selected Choice,What gender do you currently identify as? - Other - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID34""}","{""ImportId"":""QID18""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID22""}","{""ImportId"":""QID21""}","{""ImportId"":""QID47_4""}","{""ImportId"":""QID47_6""}","{""ImportId"":""QID47_9""}","{""ImportId"":""QID47_10""}","{""ImportId"":""QID24""}","{""ImportId"":""QID39""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_4_TEXT""}"
30/11/2023 10:28,30/11/2023 10:30,IP Address,100,102,TRUE,30/11/2023 10:30,R_3HvoG8dUAD28XCj,anonymous,EN,Yes,Yes,Frequently,Yes,Very frequently,Yes,Neutral,Strongly Agree,Disagree,Neutral,Somewhat uncomfortable,Neutral,Agree,Neutral,Agree,Neutral,Unsure,2005,German,Female,
30/11/2023 10:29,30/11/2023 10:31,IP Address,100,127,TRUE,30/11/2023 10:31,R_YPk1eLYdbD8O4FP,anonymous,EN,Yes,Yes,Very frequently,Yes,Frequently,Unsure,Neutral,Agree,Neutral,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Disagree,Disagree,Very unaware,Unsure,2003,Hungarian,Female,
30/11/2023 10:32,30/11/2023 10:34,IP Address,100,127,TRUE,30/11/2023 10:34,R_8CeDMxAfuQvHpx7,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Disagree,Neutral,Disagree,Neutral,Neutral,Somewhat Unlikely,Agree,Neutral,Neutral,Very unaware,Unsure,2003,New Zealander,Female,
30/11/2023 11:57,30/11/2023 11:59,IP Address,100,144,TRUE,30/11/2023 11:59,R_dnihPVp8FWZmqsN,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat uncomfortable,Neutral,Neutral,Agree,Disagree,Unaware,Yes,2004,Vietnamese,Female,
30/11/2023 13:00,30/11/2023 13:00,IP Address,100,9,TRUE,30/11/2023 13:00,R_8ri1E6PJzYr8sRb,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
30/11/2023 13:31,30/11/2023 13:33,IP Address,100,98,TRUE,30/11/2023 13:33,R_u7KvTj1QkIiFDeF,anonymous,EN,Yes,Yes,Frequently,Yes,Frequently,Yes,Disagree,Neutral,Agree,Agree,Somewhat uncomfortable,Somewhat Unlikely,Strongly Agree,Disagree,Agree,Very unaware,Unsure,1999,Portuguese,Male,
30/11/2023 13:28,30/11/2023 13:34,IP Address,100,346,TRUE,30/11/2023 13:34,R_RCh0LgoFjG9AStP,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Neutral,Agree,Strongly Disagree,Disagree,Somewhat uncomfortable,Somewhat Likely,Agree,Agree,Disagree,Unaware,Yes,1999,Canadian,Female,
30/11/2023 14:01,30/11/2023 14:03,IP Address,100,121,TRUE,30/11/2023 14:03,R_1FkNefP3EeItZhK,anonymous,EN,Yes,Yes,Occasionally,Yes,Occasionally,No,Neutral,Agree,Neutral,Neutral,Neutral,Very Unlikely,Agree,Disagree,Neutral,Unaware,No,2003,American,Male,
30/11/2023 14:46,30/11/2023 14:48,IP Address,100,142,TRUE,30/11/2023 14:48,R_23dWzNg26Vt5riO,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
30/11/2023 14:58,30/11/2023 14:59,IP Address,100,41,TRUE,30/11/2023 14:59,R_Q3t1hTpoIdQ5CuJ,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
30/11/2023 15:08,30/11/2023 15:13,IP Address,100,249,TRUE,30/11/2023 15:13,R_2BncQhNuL76ocNp,anonymous,EN,Yes,Yes,Frequently,Yes,Frequently,Unsure,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Strongly Disagree,Neutral,Aware,Unsure,1992,Dutch,Male,
30/11/2023 15:42,30/11/2023 15:42,IP Address,100,57,TRUE,30/11/2023 15:42,R_zdn3MCdxcNF0HbX,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Extremely uncomfortable,Very Likely,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very aware,Yes,1907,Albanian,Male,
01/12/2023 7:46,01/12/2023 8:02,IP Address,100,972,TRUE,01/12/2023 8:03,R_3NQfhvNlLvlCWys,anonymous,EN,Yes,Yes,Frequently,Yes,Rarely,Unsure,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Somewhat Unlikely,Agree,Disagree,Agree,Aware,Yes,2003,Dutch,Male,
02/12/2023 10:17,02/12/2023 10:21,IP Address,100,213,TRUE,02/12/2023 10:21,R_UyTExd5veyNtHZD,anonymous,EN,Yes,Yes,Very frequently,Yes,Occasionally,Yes,Agree,Agree,Disagree,Strongly Agree,Somewhat uncomfortable,Somewhat Unlikely,Strongly Agree,Neutral,Neutral,Aware,No,1999,Dutch,Male,
02/12/2023 11:45,02/12/2023 11:51,IP Address,100,366,TRUE,02/12/2023 11:51,R_3EaMghRKoyARwyf,anonymous,EN,Yes,Yes,Frequently,Yes,Frequently,Unsure,Disagree,Strongly Disagree,Disagree,Neutral,Somewhat uncomfortable,Somewhat Likely,Agree,Agree,Disagree,Aware,Unsure,2003,Dutch,Male,
03/12/2023 7:15,03/12/2023 7:18,IP Address,100,194,TRUE,03/12/2023 7:18,R_UlQiNqsuOAqW5Yl,anonymous,EN,Yes,Yes,Rarely,Yes,Occasionally,Yes,Neutral,Neutral,Neutral,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Disagree,Unaware,No,2005,British,Female,
