,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q2.4,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q4.1,Q4.2,Q4.3_1,Q4.3_2,Q4.3_3,Q5.1,Q5.2,Q6.1_1,Q6.2_1,Q6.3
0,Yes,Yes,Frequently,Yes,Very frequently,Yes,Neutral,Strongly Agree,Disagree,Neutral,Somewhat uncomfortable,Neutral,Agree,Neutral,Agree,Neutral,Unsure,2005,German,Female
1,Yes,Yes,Very frequently,Yes,Frequently,Unsure,Neutral,Agree,Neutral,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Disagree,Disagree,Very unaware,Unsure,2003,Hungarian,Female
2,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Disagree,Neutral,Disagree,Neutral,Neutral,Somewhat Unlikely,Agree,Neutral,Neutral,Very unaware,Unsure,2003,New Zealander,Female
3,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat uncomfortable,Neutral,Neutral,Agree,Disagree,Unaware,Yes,2004,Vietnamese,Female
4,Yes,Yes,Frequently,Yes,Frequently,Yes,Disagree,Neutral,Agree,Agree,Somewhat uncomfortable,Somewhat Unlikely,Strongly Agree,Disagree,Agree,Very unaware,Unsure,1999,Portuguese,Male
5,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Neutral,Agree,Strongly Disagree,Disagree,Somewhat uncomfortable,Somewhat Likely,Agree,Agree,Disagree,Unaware,Yes,1999,Canadian,Female
6,Yes,Yes,Occasionally,Yes,Occasionally,No,Neutral,Agree,Neutral,Neutral,Neutral,Very Unlikely,Agree,Disagree,Neutral,Unaware,No,2003,American,Male
7,Yes,Yes,Frequently,Yes,Frequently,Unsure,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Strongly Disagree,Neutral,Aware,Unsure,1992,Dutch,Male
8,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Extremely uncomfortable,Very Likely,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very aware,Yes,1907,Albanian,Male
9,Yes,Yes,Frequently,Yes,Rarely,Unsure,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Somewhat Unlikely,Agree,Disagree,Agree,Aware,Yes,2003,Dutch,Male
10,Yes,Yes,Very frequently,Yes,Occasionally,Yes,Agree,Agree,Disagree,Strongly Agree,Somewhat uncomfortable,Somewhat Unlikely,Strongly Agree,Neutral,Neutral,Aware,No,1999,Dutch,Male
11,Yes,Yes,Frequently,Yes,Frequently,Unsure,Disagree,Strongly Disagree,Disagree,Neutral,Somewhat uncomfortable,Somewhat Likely,Agree,Agree,Disagree,Aware,Unsure,2003,Dutch,Male
12,Yes,Yes,Rarely,Yes,Occasionally,Yes,Neutral,Neutral,Neutral,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Disagree,Unaware,No,2005,British,Female
13,Yes,Yes,Occasionally,Yes,Frequently,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat uncomfortable,Somewhat Likely,Agree,Disagree,Disagree,Very aware,Yes,1999,Dutch,Female
14,Yes,Yes,Occasionally,Yes,Rarely,Unsure,Strongly Disagree,Neutral,Disagree,Disagree,Somewhat uncomfortable,Neutral,Agree,Agree,Agree,Neutral,Yes,2005,Cambodian,Female
15,Yes,Yes,Frequently,Yes,Frequently,Unsure,Agree,Agree,Agree,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Agree,Neutral,Aware,Unsure,2005,Dutch,Male
16,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat uncomfortable,Somewhat Unlikely,Strongly Agree,Disagree,Strongly Disagree,Very unaware,Yes,2003,Dutch,Male
17,Yes,Yes,Frequently,Yes,Frequently,Unsure,Neutral,Neutral,Disagree,Neutral,Somewhat uncomfortable,Somewhat Unlikely,Agree,Agree,Disagree,Unaware,Yes,2004,Indonesian,Female
18,Yes,Yes,Frequently,Yes,Very frequently,Unsure,Neutral,Agree,Disagree,Disagree,Extremely uncomfortable,Somewhat Unlikely,Agree,Strongly Agree,Disagree,Very unaware,Yes,2005,Dutch,Female
19,Yes,Yes,Frequently,Yes,Frequently,Unsure,Strongly Disagree,Disagree,Disagree,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Disagree,Very unaware,Unsure,2002,Polish,Female
20,Yes,Yes,Frequently,Yes,Frequently,Unsure,Agree,Agree,Agree,Agree,Somewhat uncomfortable,Neutral,Strongly Agree,Strongly Agree,Disagree,Unaware,Yes,2005,Turkish,Female
21,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Neutral,Disagree,Neutral,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Disagree,Neutral,Aware,No,2001,Dutch,Female
22,Yes,Yes,Very frequently,Yes,Occasionally,Unsure,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat uncomfortable,Somewhat Likely,Agree,Neutral,Disagree,Unaware,Unsure,2004,Greek,Female
23,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Disagree,Disagree,Disagree,Neutral,Somewhat uncomfortable,Somewhat Likely,Agree,Neutral,Agree,Unaware,Yes,2004,Czech,Male
24,Yes,Yes,Very frequently,Yes,Frequently,Unsure,Disagree,Agree,Neutral,Disagree,Somewhat uncomfortable,Somewhat Likely,Strongly Agree,Neutral,Disagree,Very unaware,Unsure,2005,Polish,Female
25,Yes,Yes,Frequently,Yes,Frequently,Unsure,Disagree,Agree,Strongly Disagree,Disagree,Somewhat uncomfortable,Somewhat Likely,Disagree,Disagree,Agree,Unaware,Yes,2003,German,Female
26,Yes,Yes,Very frequently,Yes,Frequently,Yes,Neutral,Agree,Disagree,Neutral,Neutral,Very Likely,Strongly Agree,Neutral,Agree,Unaware,Unsure,2004,Taiwanese,Male
27,Yes,Yes,Occasionally,Yes,Very frequently,Yes,Agree,Agree,Agree,Agree,Somewhat uncomfortable,Somewhat Unlikely,Disagree,Neutral,Strongly Disagree,Unaware,Unsure,2001,Dutch,Male
28,Yes,Yes,Frequently,Yes,Occasionally,Yes,Disagree,Agree,Neutral,Neutral,Somewhat uncomfortable,Somewhat Unlikely,Agree,Disagree,Neutral,Very unaware,Unsure,2005,Iraqi,Female
29,Yes,Yes,Occasionally,Yes,Rarely,Unsure,Neutral,Agree,Neutral,Agree,Neutral,Somewhat Likely,Agree,Strongly Disagree,Agree,Aware,Yes,2005,Dutch,Male
30,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Strongly Disagree,Agree,Neutral,Disagree,Somewhat uncomfortable,Neutral,Strongly Agree,Neutral,Neutral,Unaware,Unsure,2003,German,Female
31,Yes,Yes,Occasionally,Yes,Frequently,Yes,Disagree,Agree,Neutral,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Neutral,Agree,Disagree,Aware,Unsure,2005,Dutch,Female
32,Yes,Yes,Very frequently,No,,Unsure,Disagree,Agree,Disagree,Neutral,Neutral,Somewhat Unlikely,Agree,Disagree,Neutral,Aware,Unsure,2003,Dutch,Male
33,Yes,Yes,Occasionally,Yes,Frequently,Yes,Agree,Strongly Agree,Agree,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Agree,Disagree,Unaware,Yes,2005,Dutch,Male
